,Flag,Location,Cases,Deaths,Recov.,"Ref.
",Death Rate,Recovery Rate
0,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Emojione_1F310.svg/15px-Emojione_1F310.svg.png,World,"58,615,834
","1,387,179
","37,477,986
",,0.0,0
1,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png,United States,"12,301,186","260,402","6,241,822",[9],2.12,51
2,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png,"India
","9,095,806","133,227","8,521,617",[10],1.46,94
3,//upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png,"Brazil
","6,071,401","169,197","5,432,505",[11][12],2.79,89
4,//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png,France,"2,140,208","48,732","151,681",[13][14],2.28,7
5,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png,Russia,"2,089,329","36,179","1,595,443",[15],1.73,76
6,//upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png,Spain,"1,556,730","42,619",None,[16],0.0,0
7,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png,United Kingdom,"1,512,045","55,024",None,[18],0.0,0
8,//upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png,"Italy
","1,408,868","49,823","553,098",[19],3.54,39
9,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png,Argentina,"1,370,353","37,002","1,195,479",[21],2.7,87
10,//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png,"Colombia
","1,248,417","35,287","1,150,932",[22],2.83,92
11,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/23px-Flag_of_Mexico.svg.png,"Mexico
","1,041,875","101,676","779,104",[23],9.76,75
12,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/23px-Flag_of_Peru.svg.png,"Peru
","949,670","35,595","879,439",[24][25],3.75,93
13,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png,Germany,"932,111","14,343","603,729",[27][26],1.54,65
14,//upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/23px-Flag_of_Poland.svg.png,"Poland
","861,331","13,618","423,971",[28],1.58,49
